,CombinedCountry
10865,European
10867,Late Roman
10869,
10883,Islamic
10885,Roman
10892,
10905,
10923,Caucasus
10925,
10938,
10949,
10956,
10958,
10980,
10991,
10995,
11000,
11001,European
11042,European
11051,
11055,Parthian
11073,
11080,Roman
11095,
11135,Roman
11138,
11140,hilt
11153,Cinema
11163,Roman
11182,
11183,
11207,Hotels
11225,
11264,Bactria-Margiana Archaeological Complex
11278,Achaemenid
11297,
11323,Byzantine
11378,
11383,
11400,Central Asia
11406,
11407,European
11430,
11453,Unknown fabric
11487,
11504,
11512,
11531,
11550,
11561,
11584,
11591,European
11592,
11602,European
11627,
11630,
11631,
11639,
11644,European
11664,Portraits
11676,European
11683,European
11685,
11688,Assyrian
11689,
11693,American 
11707,Roman
11715,European
11732,Roman
11757,Portraits
11771,Roman
11781,
11787,
11795,
11811,
11816,Frankish
11835,Unknown
11843,Caucasus
11845,
11848,
11852,Men
11864,
11882,Portraits
11885,European
11887,
11897,
11902,
11904,
11917,Roman
11920,Roman
11921,Roman
11925,
11932,
11958,
11960,
11962,Roman
11973,
12056,
12067,Islamic
12079,
12085,Central Asia
12086,
12089,
12115,Men
12117,
12119,Portraits
12129,
12146,
12178,Unknown fabric
12187,Roman
12189,
12203,
12220,
12229,
12259,Roman
12278,
12282,Byzantine
12310,
12326,
12328,
12332,Roman
12340,hilt
12383,Caucasus
12410,Roman
12415,Roman
12421,
12424,Bactria-Margiana Archaeological Complex
12431,Roman
12443,Crusader
12446,Central Asia
12449,
12451,Tunnels
12453,
12455,Men
12464,
12465,
12471,
12480,
12490,
12503,Roman
12527,Men
12559,Parthian
12564,Roman
12594,Hungarian-Slovak
12595,
12614,Roman
12619,Planes
12624,Roman
12632,
12642,
12650,
12658,Bactria-Margiana Archaeological Complex
12665,Byzantine
12666,Hotels
12675,
12681,European
12691,
12693,
12707,
12711,
12712,
12737,
12740,
12745,American-Canadian
12751,Levant
12754,
12762,
12766,Islamic
12774,Interiors
12778,
12788,
12821,
12831,Central Asia
12845,European
12847,Frankish
12853,Roman
12854,Men
12863,
12872,Parthian
12887,
12900,
12910,European
12950,Assyrian
12958,Roman
12962,
12975,European
13000,Carriages
13002,
13015,
13017,Frankish
13020,
13024,
13029,
13030,
13038,Korean
13042,Roman
13044,
13059,
13077,Men
13083,Roman
13090,
13105,American 
13108,European
13133,
13140,
13155,European
13167,
13170,
13176,
13182,
13186,
13196,
13206,
13216,
13223,
13230,
13231,
13241,
13244,Roman
13253,
13257,Portraits
13270,
13280,
13287,Roman
13289,Graeco-Persian
13300,
13313,European
13320,Roman
13339,Roman
13342,
13358,Streets
13372,
13391,Roman
13413,European
13444,
13461,
13465,
13466,Roman
13468,
13481,
13483,
13485,Men
13489,
13513,
13514,
13530,Continental
13535,European
13541,
13542,
13558,Parthian
13579,
13624,Men
13642,
13650,
13656,
13664,Byzantine
13667,
13692,
13698,
13715,Portraits
13717,
13724,Crusader
13752,
13757,
13762,Portraits
13777,European
13780,
13801,Men
13808,
13810,Franco-Italian
13818,
13833,Roman
13834,U
13840,
13847,
13858,hilt and scabbard
13860,
13872,Roman
13879,
13880,
13887,European
13904,European
13911,European
13931,Roman
13935,Portraits
13936,Roman
13940,
13964,
13977,
13989,
14006,
14012,
14023,Men
14048,Roman
14057,Roman
14066,
14078,Cinema
14083,Roman
14093,Byzantine
14116,
14126,Men
14129,European
14180,Men
14186,
14198,
14206,West Slavic
14207,Dogs
14208,Islamic lands
14226,Men
14233,
14239,
14241,
14246,Hospitals
14275,
14277,Assyrian
14286,
14323,Eagles
14326,
14332,
14358,
14364,
14368,
14383,Roman
14384,Roman
14409,Churches
14418,
14436,
14442,
14466,
14468,
14483,Roman
14485,Men
14496,
14506,
14507,German glass with Augsburg silver mounts
14522,
14532,
14542,
14549,
14555,Unknown
14565,Bactria-Margiana Archaeological Complex
14584,
14596,European
14605,
14623,European
14624,Roman
14628,
14646,
14650,
14652,Buildings
14658,European
14663,
14671,
14698,
14710,Persian Gulf region
14747,
14770,Crusader
14794,
14808,Byzantine
14814,
14836,
14849,European
14875,Levant
14882,European
14884,
14891,Roman
14893,Portraits
14897,European
14919,Roman
14928,European
14938,
14950,Bactria-Margiana Archaeological Complex
14968,
14979,
14980,Late Roman
14992,French and British
14995,
14997,
15000,
15006,Roman
15026,Frankish
15030,Couples
15050,
15067,European
15068,European
15074,German and Italian
15086,
15094,Roman
15096,Men
15101,
15105,
15111,
15116,
15129,Turkish with Persian blade
15155,
15158,
15164,
15190,European
15192,
15225,
15253,Dance
15254,
15260,European
15299,
15305,Byzantine
15308,
15324,European
15351,Byzantine
15364,
15375,Men
15389,
15396,Eagles
15404,Roman
15408,
15414,
15430,European
15441,Dogs
15470,
15487,
15489,Men
15498,Roman
15528,
15548,
15566,Roman
15570,
15573,
15590,Roman
15592,
15608,Roman
15612,Roman
15621,Caucasus
15642,European
15656,Late Roman
15676,Halaf
15717,Portraits
15739,Roman
15759,
15771,
15773,
15774,
15775,Roman
15799,
15821,
15825,Roman
15828,
15839,Roman
15860,
15870,
15872,Portraits
15876,Central European
15885,
15892,
15904,
15927,
15940,
15942,Roman
15985,Roman
15988,
16030,European
16056,European
16107,European
16110,
16114,Austro-Hungarian
16115,European
16143,
16149,Roman
16180,
16202,
16222,Roman
16225,Roman
16226,Portraits
16230,Docks
16272,
16276,
16297,
16299,World War II
16316,
16322,European
16323,
16329,
16330,Portraits
16338,
16342,
16360,
16365,
16372,Profiles
16396,Frankish
16402,European
16403,
16413,Roman
16417,
16428,
16435,
16517,
16525,Roman
16557,
16565,European
16567,Roman
16571,Roman
16572,Roman
16586,Roman
16621,Men
16623,
16630,Roman
16631,Asian
16641,
16645,
16676,
16703,
16710,
16717,Roman
16721,
16725,Portraits
16782,
16793,Jewish
16811,
16820,
16823,
16824,Roman
16826,
16827,Roman
16832,
